,ProductName_ID,Point-of-Sale_ID,Sell-out units,date
0,114,17,3,2016-01-04
1,114,17,2,2016-03-07
2,114,17,4,2016-03-14
3,114,17,3,2016-03-21
4,114,17,6,2016-03-28
5,114,17,1,2016-04-04
6,114,17,6,2016-04-11
7,114,17,7,2016-04-18
8,114,17,4,2016-04-25
9,114,17,1,2016-05-02
10,114,17,2,2016-05-09
11,114,17,6,2016-05-16
12,114,17,3,2016-05-23
13,114,17,3,2016-05-30
14,114,17,4,2016-06-06
15,114,17,10,2016-06-13
16,114,17,6,2016-06-20
17,114,17,7,2016-06-27
18,114,17,8,2016-07-04
19,114,17,9,2016-07-11
20,114,17,5,2016-07-18
21,114,17,3,2016-01-18
22,114,17,7,2016-07-25
23,114,17,3,2016-08-01
24,114,17,3,2016-08-08
25,114,17,4,2016-08-15
26,114,17,4,2016-08-22
27,114,17,7,2016-08-29
28,114,17,4,2016-09-05
29,114,17,7,2016-09-12
30,114,17,5,2016-09-19
31,114,17,4,2016-09-26
32,114,17,4,2016-01-25
33,114,17,5,2016-10-03
34,114,17,4,2016-10-10
35,114,17,10,2016-10-17
36,114,17,4,2016-10-24
37,114,17,3,2016-10-31
38,114,17,7,2016-11-07
39,114,17,14,2016-11-14
40,114,17,13,2016-11-21
41,114,17,1,2016-11-28
42,114,17,5,2016-12-05
43,114,17,1,2016-02-01
44,114,17,3,2016-12-12
45,114,17,6,2016-12-19
46,114,17,9,2016-12-26
47,114,17,1,2016-02-08
48,114,17,3,2016-02-15
49,114,17,26,2016-02-22
50,114,17,7,2016-02-29
51,114,17,6,2017-01-02
52,114,17,3,2017-03-06
53,114,17,5,2017-03-13
54,114,17,2,2017-03-20
55,114,17,4,2017-03-27
56,114,17,2,2017-04-03
57,114,17,2,2017-04-10
58,114,17,3,2017-04-17
59,114,17,1,2017-04-24
60,114,17,6,2017-05-08
61,114,17,6,2017-01-09
62,114,17,3,2017-05-15
63,114,17,1,2017-05-22
64,114,17,3,2017-05-29
65,114,17,5,2017-06-05
66,114,17,1,2017-06-12
67,114,17,5,2017-06-19
68,114,17,2,2017-06-26
69,114,17,2,2017-07-03
70,114,17,5,2017-07-17
71,114,17,6,2017-01-16
72,114,17,2,2017-07-24
73,114,17,9,2017-07-31
74,114,17,2,2017-08-07
75,114,17,3,2017-08-14
76,114,17,2,2017-08-21
77,114,17,4,2017-08-28
78,114,17,4,2017-09-04
79,114,17,6,2017-09-11
80,114,17,4,2017-09-18
81,114,17,3,2017-09-25
82,114,17,4,2017-01-23
83,114,17,2,2017-10-02
84,114,17,4,2017-10-09
85,114,17,5,2017-10-16
86,114,17,6,2017-10-23
87,114,17,1,2017-10-30
88,114,17,6,2017-11-06
89,114,17,3,2017-11-13
90,114,17,1,2017-11-20
91,114,17,2,2017-11-27
92,114,17,4,2017-12-04
93,114,17,3,2017-01-30
94,114,17,2,2017-12-11
95,114,17,3,2017-12-18
96,114,17,2,2017-12-25
97,114,17,4,2017-02-06
98,114,17,1,2017-02-13
99,114,17,10,2017-02-20
100,114,17,3,2017-02-27
101,114,17,5,2018-01-01
102,114,17,2,2018-03-05
103,114,17,3,2018-03-12
104,114,17,5,2018-04-02
105,114,17,1,2018-04-09
106,114,17,2,2018-04-16
107,114,17,3,2018-04-23
108,114,17,4,2018-05-07
109,114,17,1,2018-01-08
110,114,17,4,2018-05-14
111,114,17,3,2018-05-21
112,114,17,2,2018-05-28
113,114,17,1,2018-06-04
114,114,17,2,2018-06-11
115,114,17,3,2018-06-18
116,114,17,4,2018-06-25
117,114,17,4,2018-07-02
118,114,17,1,2018-07-09
119,114,17,3,2018-07-16
120,114,17,4,2018-01-15
121,114,17,6,2018-07-23
122,114,17,4,2018-07-30
123,114,17,1,2018-08-06
124,114,17,1,2018-08-13
125,114,17,2,2018-08-20
126,114,17,4,2018-08-27
127,114,17,5,2018-09-03
128,114,17,4,2018-09-10
129,114,17,1,2018-09-17
130,114,17,3,2018-09-24
131,114,17,1,2018-01-22
132,114,17,3,2018-10-01
133,114,17,3,2018-10-08
134,114,17,2,2018-10-15
135,114,17,2,2018-10-22
136,114,17,3,2018-11-05
137,114,17,3,2018-11-12
138,114,17,4,2018-11-19
139,114,17,3,2018-11-26
140,114,17,1,2018-12-03
141,114,17,5,2018-01-29
142,114,17,3,2018-12-10
143,114,17,3,2018-12-17
144,114,17,1,2018-12-24
145,114,17,1,2018-02-05
146,114,17,5,2018-02-12
147,114,17,4,2018-02-19
148,114,17,4,2018-02-26
149,114,17,3,2019-01-07
150,114,17,1,2019-03-11
151,114,17,3,2019-03-18
152,114,17,1,2019-03-25
153,114,17,2,2019-04-01
154,114,17,3,2019-04-08
155,114,17,2,2019-04-15
156,114,17,4,2019-04-22
157,114,17,4,2019-04-29
158,114,17,3,2019-05-06
159,114,17,6,2019-05-13
160,114,17,3,2019-01-14
161,114,17,4,2019-05-27
162,114,17,5,2019-06-03
163,114,17,3,2019-06-10
164,114,17,2,2019-06-17
165,114,17,2,2019-06-24
166,114,17,2,2019-07-01
167,114,17,1,2019-07-08
168,114,17,1,2019-07-15
169,114,17,3,2019-07-22
170,114,17,4,2019-01-21
171,114,17,3,2019-07-29
172,114,17,5,2019-08-05
173,114,17,2,2019-08-12
174,114,17,3,2019-08-19
175,114,17,2,2019-08-26
176,114,17,3,2019-09-02
177,114,17,1,2019-09-09
178,114,17,2,2019-09-16
179,114,17,4,2019-09-23
180,114,17,2,2019-09-30
181,114,17,2,2019-01-28
182,114,17,3,2019-10-14
183,114,17,2,2019-10-21
184,114,17,2,2019-10-28
185,114,17,2,2019-11-04
186,114,17,4,2019-02-04
187,114,17,3,2019-02-11
188,114,17,2,2019-02-18
189,114,17,6,2019-02-25
190,114,17,2,2019-03-04
191,224,42,2,2016-11-07
192,224,42,6,2016-11-14
193,224,42,8,2016-12-05
194,224,42,15,2016-12-12
195,224,42,2,2016-12-19
196,224,42,2,2016-12-26
197,224,42,6,2017-01-02
198,224,42,12,2017-03-06
199,224,42,12,2017-03-13
200,224,42,2,2017-03-20
201,224,42,12,2017-03-27
202,224,42,2,2017-04-03
203,224,42,4,2017-04-10
204,224,42,14,2017-04-17
205,224,42,4,2017-04-24
206,224,42,12,2017-05-01
207,224,42,6,2017-05-08
208,224,42,2,2017-01-09
209,224,42,31,2017-05-15
210,224,42,6,2017-05-22
211,224,42,14,2017-05-29
212,224,42,4,2017-06-05
213,224,42,10,2017-06-12
214,224,42,8,2017-06-19
215,224,42,20,2017-06-26
216,224,42,8,2017-07-03
217,224,42,8,2017-07-10
218,224,42,22,2017-07-17
219,224,42,4,2017-07-24
220,224,42,14,2017-07-31
221,224,42,8,2017-08-07
222,224,42,2,2017-08-14
223,224,42,8,2017-08-21
224,224,42,10,2017-08-28
225,224,42,14,2017-09-04
226,224,42,12,2017-09-11
227,224,42,22,2017-09-18
228,224,42,34,2017-09-25
229,224,42,2,2017-01-23
230,224,42,4,2017-10-02
231,224,42,4,2017-10-09
232,224,42,16,2017-10-16
233,224,42,17,2017-10-23
234,224,42,6,2017-10-30
235,224,42,24,2017-11-06
236,224,42,16,2017-11-13
237,224,42,4,2017-11-20
238,224,42,8,2017-11-27
239,224,42,28,2017-12-04
240,224,42,15,2017-01-30
241,224,42,19,2017-12-11
242,224,42,26,2017-12-18
243,224,42,2,2017-12-25
244,224,42,16,2017-02-06
245,224,42,18,2017-02-13
246,224,42,13,2017-02-20
247,224,42,6,2017-02-27
248,224,42,18,2018-01-01
249,224,42,17,2018-03-05
250,224,42,12,2018-03-12
251,224,42,12,2018-03-19
252,224,42,6,2018-03-26
253,224,42,19,2018-04-02
254,224,42,24,2018-04-09
255,224,42,20,2018-04-16
256,224,42,12,2018-04-23
257,224,42,39,2018-04-30
258,224,42,6,2018-05-07
259,224,42,10,2018-01-08
260,224,42,22,2018-05-14
261,224,42,4,2018-05-21
262,224,42,18,2018-05-28
263,224,42,12,2018-06-04
264,224,42,17,2018-06-11
265,224,42,12,2018-06-18
266,224,42,16,2018-06-25
267,224,42,18,2018-07-02
268,224,42,22,2018-07-09
269,224,42,26,2018-07-16
270,224,42,20,2018-01-15
271,224,42,21,2018-07-23
272,224,42,10,2018-07-30
273,224,42,4,2018-08-06
274,224,42,8,2018-08-13
275,224,42,10,2018-08-20
276,224,42,29,2018-08-27
277,224,42,23,2018-09-03
278,224,42,12,2018-09-10
279,224,42,28,2018-09-17
280,224,42,30,2018-09-24
281,224,42,8,2018-01-22
282,224,42,21,2018-10-01
283,224,42,39,2018-10-08
